Ibat,SOC,Ubat,,,,
0.01,4.95913611111113,22.81,,,,
0,4.95913611111113,22.8,,,,
0,4.95913611111113,22.8,,,,
-0.01,4.95913333333335,22.81,,,,
0.01,4.95913611111113,22.81,,,,
0,4.95913611111113,22.81,,,,
0,4.95913611111113,22.81,,,,
0,4.95913611111113,22.8,,,,
0,4.95913611111113,22.8,,,,
0,4.95913611111113,22.81,,,,
0,4.95913611111113,22.81,,,,
-0.01,4.95913333333335,22.8,,,,
0,4.95913333333335,22.8,,,,
0.01,4.95913611111113,22.81,,,,
0,4.95913611111113,22.81,,,,
-0.01,4.95913333333335,22.8,,,,
0,4.95913333333335,22.8,,,,
-0.01,4.95913055555558,22.8,,,,
0,4.95913055555558,22.81,,,,
0.01,4.95913333333335,22.81,,,,
-0.01,4.95913055555558,22.81,,,,
0,4.95913055555558,22.8,,,,
0.01,4.95913333333335,22.82,,,,
0,4.95913333333335,22.8,,,,
0.01,4.95913611111113,22.81,,,,
0,4.95913611111113,22.8,,,,
0,4.95913611111113,22.8,,,,
0,4.95913611111113,22.81,,,,
0,4.95913611111113,22.81,,,,
0,4.95913611111113,22.82,,,,
-0.01,4.95913333333335,22.8,,,,
-0.01,4.95913055555558,22.8,,,,
-0.01,4.9591277777778,22.81,,,,
-0.01,4.95912500000002,22.8,,,,
0,4.95912500000002,22.81,,,,
-0.01,4.95912222222224,22.81,,,,
-0.01,4.95911944444447,22.8,,,,
0,4.95911944444447,22.81,,,,
0,4.95911944444447,22.8,,,,
-0.01,4.95911666666669,22.8,,,,
0,4.95911666666669,22.8,,,,
0,4.95911666666669,22.81,,,,
0,4.95911666666669,22.81,,,,
0,4.95911666666669,22.8,,,,
-0.01,4.95911388888891,22.81,,,,
0,4.95911388888891,22.81,,,,
-0.01,4.95911111111113,22.81,,,,
0,4.95911111111113,22.8,,,,
-0.01,4.95910833333336,22.8,,,,
-0.01,4.95910555555558,22.8,,,,
-0.01,4.9591027777778,22.81,,,,
0,4.9591027777778,22.81,,,,
0,4.9591027777778,22.81,,,,
-0.01,4.95910000000002,22.8,,,,
-0.01,4.95909722222225,22.8,,,,
0,4.95909722222225,22.81,,,,
0,4.95909722222225,22.81,,,,
0,4.95909722222225,22.82,,,,
-0.01,4.95909444444447,22.8,,,,
-0.01,4.95909166666669,22.8,,,,
0,4.95909166666669,22.81,,,,
0,4.95909166666669,22.81,,,,
-0.01,4.95908888888891,22.8,,,,
-0.01,4.95908611111114,22.8,,,,
-0.01,4.95908333333336,22.8,,,,
-0.01,4.95908055555558,22.81,,,,
-0.01,4.9590777777778,22.81,,,,
-0.01,4.95907500000003,22.81,,,,
-0.01,4.95907222222225,22.8,,,,
-0.01,4.95906944444447,22.8,,,,
-0.01,4.95906666666669,22.8,,,,
-0.01,4.95906388888892,22.8,,,,
-0.01,4.95906111111114,22.8,,,,
-0.01,4.95905833333336,22.8,,,,
-0.01,4.95905555555558,22.8,,,,
-0.01,4.95905277777781,22.8,,,,
-0.01,4.95905000000003,22.8,,,,
-0.01,4.95904722222225,22.8,,,,
-0.01,4.95904444444447,22.8,,,,
0,4.95904444444447,22.81,,,,
-0.01,4.95904166666669,22.8,,,,
0,4.95904166666669,22.81,,,,
-0.01,4.95903888888892,22.81,,,,
0,4.95903888888892,22.81,,,,
-0.01,4.95903611111114,22.78,,,,
-0.01,4.95903333333336,22.8,,,,
-0.01,4.95903055555558,22.8,,,,
-0.01,4.95902777777781,22.8,,,,
0,4.95902777777781,22.81,,,,
-0.01,4.95902500000003,22.8,,,,
0.01,4.95902777777781,22.81,,,,
0.01,4.95903055555558,22.81,,,,
0.01,4.95903333333336,22.81,,,,
-0.01,4.95903055555558,22.8,,,,
0,4.95903055555558,22.82,,,,
-0.01,4.95902777777781,22.78,,,,
0,4.95902777777781,22.81,,,,
0,4.95902777777781,22.81,,,,
-0.01,4.95902500000003,22.8,,,,
-0.01,4.95902222222225,22.8,,,,
-0.01,4.95901944444447,22.8,,,,
-0.01,4.9590166666667,22.8,,,,
-0.01,4.95901388888892,22.8,,,,
-0.03,4.95900555555559,22.79,,,,
-0.01,4.95900277777781,22.8,,,,
-0.01,4.95900000000003,22.8,,,,
-0.01,4.95899722222225,22.8,,,,
0,4.95899722222225,22.81,,,,
-0.01,4.95899444444448,22.8,,,,
0,4.95899444444448,22.8,,,,
-0.01,4.9589916666667,22.79,,,,
-0.01,4.95898888888892,22.8,,,,
0,4.95898888888892,22.8,,,,
0.01,4.9589916666667,22.81,,,,
0,4.9589916666667,22.8,,,,
-0.03,4.95898333333336,22.79,,,,
0,4.95898333333336,22.81,,,,
-0.01,4.95898055555559,22.8,,,,
-0.01,4.95897777777781,22.8,,,,
-0.01,4.95897500000003,22.8,,,,
0.01,4.95897777777781,22.81,,,,
0,4.95897777777781,22.8,,,,
0.01,4.95898055555559,22.82,,,,
0,4.95898055555559,22.8,,,,
0,4.95898055555559,22.8,,,,
-0.03,4.95897222222225,22.79,,,,
0,4.95897222222225,22.81,,,,
-0.01,4.95896944444448,22.81,,,,
-0.01,4.9589666666667,22.8,,,,
-0.01,4.95896388888892,22.8,,,,
-0.01,4.95896111111114,22.8,,,,
-0.01,4.95895833333336,22.8,,,,
-0.01,4.95895555555559,22.8,,,,
0,4.95895555555559,22.81,,,,
-0.01,4.95895277777781,22.81,,,,
-0.03,4.95894444444448,22.78,,,,
0,4.95894444444448,22.81,,,,
-0.01,4.9589416666667,22.8,,,,
-0.01,4.95893888888892,22.8,,,,
-0.01,4.95893611111114,22.8,,,,
-0.01,4.95893333333337,22.8,,,,
-0.01,4.95893055555559,22.8,,,,
-0.01,4.95892777777781,22.8,,,,
-0.01,4.95892500000003,22.81,,,,
-0.01,4.95892222222226,22.81,,,,
0,4.95892222222226,22.81,,,,
-0.01,4.95891944444448,22.78,,,,
-0.01,4.9589166666667,22.8,,,,
-0.01,4.95891388888892,22.8,,,,
-0.01,4.95891111111115,22.8,,,,
-0.01,4.95890833333337,22.8,,,,
-0.01,4.95890555555559,22.8,,,,
-0.01,4.95890277777781,22.8,,,,
-0.01,4.95890000000003,22.8,,,,
-0.01,4.95889722222226,22.8,,,,
-0.01,4.95889444444448,22.8,,,,
0,4.95889444444448,22.82,,,,
-0.01,4.9588916666667,22.8,,,,
-0.01,4.95888888888892,22.8,,,,
-0.01,4.95888611111115,22.8,,,,
-0.01,4.95888333333337,22.8,,,,
-0.01,4.95888055555559,22.78,,,,
-0.01,4.95887777777781,22.8,,,,
-0.01,4.95887500000004,22.8,,,,
-0.01,4.95887222222226,22.8,,,,
0,4.95887222222226,22.8,,,,
-0.01,4.95886944444448,22.8,,,,
0,4.95886944444448,22.81,,,,
0.01,4.95887222222226,22.81,,,,
0,4.95887222222226,22.8,,,,
-0.01,4.95886944444448,22.8,,,,
-0.01,4.9588666666667,22.78,,,,
-0.01,4.95886388888893,22.8,,,,
-0.01,4.95886111111115,22.8,,,,
-0.01,4.95885833333337,22.8,,,,
-0.01,4.95885555555559,22.8,,,,
-0.01,4.95885277777782,22.81,,,,
-0.01,4.95885000000004,22.81,,,,
-0.01,4.95884722222226,22.8,,,,
-0.01,4.95884444444448,22.8,,,,
0,4.95884444444448,22.81,,,,
-0.01,4.95884166666671,22.8,,,,
-0.01,4.95883888888893,22.78,,,,
-0.01,4.95883611111115,22.8,,,,
0,4.95883611111115,22.81,,,,
-0.01,4.95883333333337,22.81,,,,
-0.01,4.9588305555556,22.81,,,,
-0.01,4.95882777777782,22.8,,,,
0.01,4.9588305555556,22.81,,,,
0,4.9588305555556,22.8,,,,
-0.01,4.95882777777782,22.81,,,,
-0.01,4.95882500000004,22.8,,,,
-0.01,4.95882222222226,22.8,,,,
-0.01,4.95881944444449,22.78,,,,
0,4.95881944444449,22.8,,,,
0,4.95881944444449,22.8,,,,
-0.01,4.95881666666671,22.8,,,,
-0.01,4.95881388888893,22.8,,,,
0,4.95881388888893,22.8,,,,
-0.01,4.95881111111115,22.8,,,,
0,4.95881111111115,22.8,,,,
0,4.95881111111115,22.8,,,,
0.01,4.95881388888893,22.81,,,,
0,4.95881388888893,22.8,,,,
0,4.95881388888893,22.8,,,,
0,4.95881388888893,22.8,,,,
-0.01,4.95881111111115,22.8,,,,
0,4.95881111111115,22.8,,,,
0.01,4.95881388888893,22.81,,,,
0,4.95881388888893,22.8,,,,
-0.01,4.95881111111115,22.8,,,,
0,4.95881111111115,22.8,,,,
0.01,4.95881388888893,22.81,,,,
0,4.95881388888893,22.78,,,,
-0.01,4.95881111111115,22.8,,,,
0.01,4.95881388888893,22.81,,,,
0,4.95881388888893,22.81,,,,
0,4.95881388888893,22.8,,,,
0,4.95881388888893,22.8,,,,
0.01,4.95881666666671,22.81,,,,
0.01,4.95881944444449,22.81,,,,
0,4.95881944444449,22.8,,,,
0,4.95881944444449,22.8,,,,
0.01,4.95882222222226,22.81,,,,
0,4.95882222222226,22.81,,,,
0,4.95882222222226,22.78,,,,
-0.03,4.95881388888893,22.79,,,,
-0.01,4.95881111111115,22.8,,,,
0,4.95881111111115,22.78,,,,
0,4.95881111111115,22.8,,,,
0,4.95881111111115,22.78,,,,
0,4.95881111111115,22.8,,,,
0,4.95881111111115,22.8,,,,
-0.01,4.95880833333337,22.79,,,,
0,4.95880833333337,22.78,,,,
-0.01,4.9588055555556,22.8,,,,
0,4.9588055555556,22.8,,,,
-0.01,4.95880277777782,22.8,,,,
