N,Time_N,Iout,Ibat,I3,Uout,Ubat,U3,Tcase,Error,State,Message,Flag,Manual,Trim,Relay,Input,Ndigits_AB,Tdigits_AB,N_KAN,Reg_1000_n,Uout_n,Iout_n,Mode_n,Uset_n,Iset_n,Uab_n,Uac_n,Ubc_n,T_n,Work_KAN,F_CAP_SUM_KIP,T_KKM1_HAWK,T_KKM2_HAWK,T_CASE_HAWK,T_AIR_HAWK,RELAY_STATE
44,2023-06-04T13:23:25.642Z,0,-3.18,0,0,22.05,-0.01,2300,Ошибок нет!,SOD_15A_10s,Разбаланс батареи,On,Avto,14,112,56,4,nan,0 - respond,0,0.16,0.01,Off,29,167,244,0,0,23,1,0,22,21,23,21.3,1
45,2023-06-04T13:23:26.643Z,0,-3.19,0,0,22.03,-0.01,2300,Ошибок нет!,SOD_15A_10s,Iвых. почти макс.!,On,Avto,14,112,56,1,nan,0 - respond,0,0.17,0.01,Off,29,167,244,0,0,23,1,0,22,21,23,21.4,1
46,2023-06-04T13:23:27.632Z,0,-3.19,0,0,22.01,-0.01,2300,Ошибок нет!,SOD_15A_10s,Iвых. почти макс.!,On,Avto,14,112,56,2,nan,0 - respond,0,0.16,0.01,Off,29,167,244,0,0,23,1,0,22,21,23,21.3,1
47,2023-06-04T13:23:28.632Z,0,-3.18,0,0,22.02,-0.01,2300,Ошибок нет!,SOD_15A_10s,Iвых. почти макс.!,On,Avto,14,112,56,3,nan,0 - respond,0,0.16,0.01,Off,29,167,244,0,0,23,1,0,22,21,23,21.3,1
48,2023-06-04T13:23:29.632Z,0,-3.18,0,0,22.01,-0.01,2300,Ошибок нет!,SOD_15A_10s,Iвых. почти макс.!,On,Avto,14,112,56,4,nan,0 - respond,0,0.16,0.01,Off,29,167,244,0,0,23,1,0,22,21,23,21.3,1
49,2023-06-04T13:23:30.632Z,0,-3.19,0,0,21.98,-0.01,2300,Ошибок нет!,SOD_15A_10s,Iвых. почти макс.!,On,Avto,14,112,56,1,nan,0 - respond,0,0.16,0.01,Off,29,167,243,0,0,23,1,0,22,21,23,21.3,1
50,2023-06-04T13:23:31.630Z,0,-3.19,0,0,21.98,-0.01,2300,Ошибок нет!,SOD_15A_10s,Iвых. почти макс.!,On,Avto,14,112,56,2,nan,0 - respond,0,0.16,0.01,Off,29,167,243,0,0,23,1,0,22,21,23,21.3,1
51,2023-06-04T13:23:32.633Z,0,-3.19,0,0,21.97,-0.01,2300,Ошибок нет!,SOD_15A_10s,Разбаланс батареи,On,Avto,14,112,56,3,nan,0 - respond,0,0.16,0.01,Off,29,167,243,0,0,23,1,0,21,21,23,21.3,1
52,2023-06-04T13:23:33.632Z,0,-3.19,0,0,21.97,-0.01,2300,Ошибок нет!,SOD_15A_10s,Iвых. почти макс.!,On,Avto,14,112,56,4,nan,0 - respond,0,0.16,0.01,Off,29,167,243,0,0,23,1,0,22,21,23,21.3,1
53,2023-06-04T13:23:34.631Z,0,-3.19,0,0,21.95,-0.01,2300,Ошибок нет!,SOD_15A_10s,Iвых. почти макс.!,On,Avto,14,112,56,1,nan,0 - respond,0,0.16,0.01,Off,29,167,243,0,0,23,1,0,21,21,23,21.3,1
54,2023-06-04T13:23:35.627Z,0,-3.19,0,0,21.96,-0.01,2300,Ошибок нет!,SOD_15A_10s,Iвых. почти макс.!,On,Avto,14,112,56,2,nan,0 - respond,0,0.16,0.01,Off,29,167,243,0,0,23,1,0,21,21,23,21.4,1
55,2023-06-04T13:23:36.632Z,0,-3.21,0,0,21.93,-0.01,2300,Ошибок нет!,SOD_15A_10s,Iвых. почти макс.!,On,Avto,14,112,56,3,nan,0 - respond,0,0.16,0.01,Off,29,167,243,0,0,23,1,0,22,21,23,21.4,1
56,2023-06-04T13:23:37.627Z,0,-3.18,0,0,21.95,-0.01,2300,Ошибок нет!,SOD_15A_10s,Iвых. почти макс.!,On,Avto,14,112,56,4,nan,0 - respond,0,0.16,0,Off,29,167,243,0,0,23,1,0,21,21,23,21.3,1
57,2023-06-04T13:23:38.628Z,0,-3.19,0,0,21.92,-0.01,2300,Ошибок нет!,SOD_15A_10s,Iвых. почти макс.!,On,Avto,14,112,56,1,nan,0 - respond,0,0.16,0.01,Off,29,167,243,0,0,23,1,0,21,21,23,21.4,1
58,2023-06-04T13:23:39.632Z,0,-3.21,0,0,21.91,-0.01,2300,Ошибок нет!,SOD_15A_10s,Iвых. почти макс.!,On,Avto,14,112,56,2,nan,0 - respond,0,0.16,0,Off,29,167,243,0,0,23,1,0,22,21,23,21.4,1
59,2023-06-04T13:23:40.630Z,0,-3.19,0,0,21.92,-0.01,2300,Ошибок нет!,SOD_15A_10s,Разбаланс батареи,On,Avto,14,112,56,3,nan,0 - respond,0,0.16,0.01,Off,29,167,243,0,0,23,1,0,22,22,23,21.4,1
60,2023-06-04T13:23:41.633Z,0,-3.19,0,0,21.91,-0.01,2300,Ошибок нет!,SOD_15A_10s,Iвых. почти макс.!,On,Avto,14,112,56,4,nan,0 - respond,0,0.16,0.01,Off,29,167,243,0,0,23,1,0,22,21,23,21.4,1
61,2023-06-04T13:23:42.634Z,0,-3.21,0,0,21.92,-0.01,2300,Ошибок нет!,SOD_15A_10s,Iвых. почти макс.!,On,Avto,14,112,56,1,nan,0 - respond,0,0.16,0.01,Off,29,167,243,0,0,23,1,0,22,21,23,21.4,1
62,2023-06-04T13:23:43.631Z,0,-3.19,0,0,21.91,-0.01,2300,Ошибок нет!,SOD_15A_10s,Iвых. почти макс.!,On,Avto,14,112,56,2,nan,0 - respond,0,0.16,0.01,Off,29,167,243,0,0,23,1,0,21,21,23,21.4,1
63,2023-06-04T13:23:44.640Z,0,-3.19,0,0,21.91,-0.01,2300,Ошибок нет!,SOD_15A_10s,Iвых. почти макс.!,On,Avto,14,112,56,3,nan,0 - respond,0,0.16,0.01,Off,29,167,243,0,0,23,1,0,22,21,23,21.4,1
64,2023-06-04T13:23:45.646Z,0,-3.19,0,0,21.89,-0.01,2300,Ошибок нет!,SOD_15A_10s,Iвых. почти макс.!,On,Avto,14,112,56,4,nan,0 - respond,0,0.16,0.01,Off,29,167,243,0,0,23,1,0,22,21,23,21.4,1
65,2023-06-04T13:23:46.633Z,0,-3.19,0,0,21.89,-0.01,2300,Ошибок нет!,SOD_15A_10s,Iвых. почти макс.!,On,Avto,14,112,56,1,nan,0 - respond,0,0.16,0,Off,29,167,243,0,0,23,1,0,21,21,23,21.4,1
66,2023-06-04T13:23:47.634Z,0,-3.19,0,0,21.89,-0.01,2300,Ошибок нет!,SOD_15A_10s,Разбаланс батареи,On,Avto,14,112,56,2,nan,0 - respond,0,0.16,0.01,Off,29,167,243,0,0,23,1,0,22,22,23,21.4,1
67,2023-06-04T13:23:48.633Z,0,-3.19,0,0,21.89,-0.01,2300,Ошибок нет!,SOD_15A_10s,Iвых. почти макс.!,On,Avto,14,112,56,3,nan,0 - respond,0,0.16,0.01,Off,29,167,243,0,0,23,1,0,22,21,23,21.4,1
68,2023-06-04T13:23:49.633Z,0,-3.19,0,0,21.88,-0.01,2300,Ошибок нет!,SOD_15A_10s,Iвых. почти макс.!,On,Avto,14,112,56,4,nan,0 - respond,0,0.16,0.01,Off,29,167,243,0,0,23,1,0,22,22,23,21.3,1
69,2023-06-04T13:23:50.633Z,0,-3.19,0,0,21.88,-0.01,2300,Ошибок нет!,SOD_15A_10s,Iвых. почти макс.!,On,Avto,14,112,56,1,nan,0 - respond,0,0.16,0.01,Off,29,167,243,0,0,23,1,0,22,21,23,21.3,1
70,2023-06-04T13:23:51.634Z,0,-0.01,0,0,22.5,-0.01,2300,Ошибок нет!,RELAX_40s,Iвых. почти макс.!,On,Avto,14,112,60,2,nan,0 - respond,0,0.15,0.01,Off,29,167,243,0,0,23,1,0,22,21,23,21.3,1
