N,I_Real,SOC,U_Real,U_linear_SUN_model,U_result_kf,OCV_from_SOC,SOC_from_OCV,U_non_linear,U_ekf_result,Err_non_linear,squared_Err_non_linear,SOC,,,,,,
90,-0.59,0.998793,26.02,27.8183,26.0149,79.2751,54.6906,-245491,-293266,1.79827,3.2337749929,0.998793,,,,,,
91,-0.59,0.99879,26.02,27.8183,26.0149,79.275,54.6906,-245592,-293366,1.79825,3.2337030625,0.99879,,,,,,
92,-0.59,0.998788,26.01,27.8182,26.0149,79.275,54.7602,-245591,-293364,1.80823,3.2696957329,0.998788,,,,,,
93,-0.59,0.998786,26.02,27.8182,26.0148,79.2749,54.6906,-245591,-293362,1.79821,3.2335592041,0.998786,,,,,,
94,-0.59,0.998784,26.01,27.8182,26.0148,79.2749,54.7602,-245590,-293361,1.80819,3.2695510761,0.998784,,,,,,
95,-0.64,0.998782,26,27.8161,26.0127,79.2749,54.8297,-245590,-293359,1.81608,3.2981465664,0.998782,,,,,,
96,-0.64,0.998779,26,27.8161,26.0126,79.2748,54.8297,-245487,-293257,1.81606,3.2980739236,0.998779,,,,,,
97,-0.59,0.998777,26.02,27.8181,26.0147,79.2748,54.6906,-245487,-293255,1.79813,3.2332714969,0.998777,,,,,,
98,-0.59,0.998775,26.01,27.8181,26.0147,79.2747,54.7602,-245588,-293354,1.80811,3.2692617721,0.998775,,,,,,
99,-0.59,0.998773,26.01,27.8181,26.0147,79.2747,54.7602,-245587,-293353,1.80809,3.2691894481,0.998773,,,,,,
100,-0.64,0.99877,26,27.816,26.0125,79.2746,54.8297,-245587,-293351,1.81598,3.2977833604,0.99877,,,,,,
101,-0.59,0.998768,26.01,27.8181,26.0146,79.2746,54.7602,-245485,-293248,1.80805,3.2690448025,0.998768,,,,,,
102,-0.59,0.998766,26.01,27.818,26.0146,79.2745,54.7602,-245586,-293348,1.80803,3.2689724809,0.998766,,,,,,
103,-0.64,0.998763,26,27.8159,26.0125,79.2745,54.8297,-245585,-293346,1.81592,3.2975654464,0.998763,,,,,,
104,-0.64,0.998761,26,27.8159,26.0124,79.2745,54.8297,-245483,-293244,1.8159,3.29749281,0.998761,,,,,,
105,-0.64,0.998759,26,27.8159,26.0124,79.2744,54.8297,-245482,-293242,1.81587,3.2973838569,0.998759,,,,,,
106,-0.64,0.998756,26,27.8159,26.0124,79.2744,54.8297,-245482,-293240,1.81585,3.2973112225,0.998756,,,,,,
107,-0.64,0.998754,26,27.8158,26.0123,79.2743,54.8297,-245481,-293239,1.81583,3.2972385889,0.998754,,,,,,
108,-0.59,0.998752,26.02,27.8179,26.0144,79.2743,54.6906,-245481,-293237,1.7979,3.23244441,0.998752,,,,,,
109,-0.59,0.99875,26.01,27.8179,26.0144,79.2742,54.7602,-245582,-293336,1.80788,3.2684300944,0.99875,,,,,,
110,-0.64,0.998747,26,27.8158,26.0123,79.2742,54.8297,-245581,-293335,1.81577,3.2970206929,0.998747,,,,,,
111,-0.59,0.998745,26.01,27.8178,26.0143,79.2741,54.7602,-245479,-293232,1.80784,3.2682854656,0.998745,,,,,,
112,-0.53,0.998743,26.01,27.8203,26.0168,79.2741,54.7602,-245580,-293331,1.81034,3.2773309156,0.998743,,,,,,
113,-0.59,0.998741,26.01,27.8178,26.0143,79.274,54.7602,-245702,-293451,1.80781,3.2681769961,0.998741,,,,,,
114,-0.53,0.998739,26.01,27.8203,26.0168,79.274,54.7602,-245579,-293328,1.8103,3.27718609,0.998739,,,,,,
115,-0.59,0.998737,26.01,27.8178,26.0142,79.274,54.7602,-245701,-293448,1.80777,3.2680323729,0.998737,,,,,,
116,-0.53,0.998735,26.01,27.8203,26.0167,79.2739,54.7602,-245578,-293325,1.81026,3.2770412676,0.998735,,,,,,
117,-0.53,0.998733,26.01,27.8202,26.0167,79.2739,54.7602,-245700,-293444,1.81024,3.2769688576,0.998733,,,,,,
118,-0.53,0.998731,26.01,27.8202,26.0167,79.2738,54.7602,-245699,-293443,1.81023,3.2769326529,0.998731,,,,,,
119,-0.64,0.998728,26,27.8156,26.0121,79.2738,54.8297,-245699,-293441,1.8156,3.29640336,0.998728,,,,,,
120,-0.59,0.998726,26.01,27.8177,26.0141,79.2737,54.7602,-245474,-293218,1.80767,3.2676708289,0.998726,,,,,,
121,-0.53,0.998724,26,27.8202,26.0166,79.2737,54.8297,-245575,-293317,1.82017,3.3130188289,0.998724,,,,,,
122,-0.59,0.998722,26.01,27.8176,26.0141,79.2737,54.7602,-245697,-293436,1.80764,3.2675623696,0.998722,,,,,,
123,-0.53,0.99872,26,27.8201,26.0166,79.2736,54.8297,-245574,-293314,1.82013,3.3128732169,0.99872,,,,,,
124,-0.59,0.998718,26,27.8176,26.014,79.2736,54.8297,-245696,-293433,1.8176,3.30366976,0.998718,,,,,,
125,-0.53,0.998716,26,27.8201,26.0165,79.2735,54.8297,-245573,-293310,1.82009,3.3127276081,0.998716,,,,,,
126,-0.53,0.998714,26,27.8201,26.0165,79.2735,54.8297,-245695,-293430,1.82008,3.3126912064,0.998714,,,,,,
127,-0.59,0.998712,26,27.8175,26.014,79.2734,54.8297,-245695,-293428,1.81754,3.3034516516,0.998712,,,,,,
128,-0.53,0.99871,26,27.82,26.0165,79.2734,54.8297,-245572,-293306,1.82004,3.3125456016,0.99871,,,,,,
129,-0.53,0.998708,26,27.82,26.0165,79.2734,54.8297,-245694,-293425,1.82002,3.3124728004,0.998708,,,,,,
130,-0.59,0.998706,26.01,27.8175,26.0139,79.2733,54.7602,-245693,-293424,1.80749,3.2670201001,0.998706,,,,,,
131,-0.53,0.998704,26.01,27.82,26.0164,79.2733,54.7602,-245570,-293301,1.80998,3.2760276004,0.998704,,,,,,
132,-0.53,0.998702,26,27.82,26.0164,79.2732,54.8297,-245692,-293420,1.81997,3.3122908009,0.998702,,,,,,
