N,I_Real,U_Real,U_linear_SUN_model,U_result_kf,OCV_from_SOC,SOC_from_OCV,U_non_linear,U_ekf_result,Err_non_linear
3653,0,50.28,50.2638,50.2838,50.2602,0.896466,50.2964,50.2678,0.0164325
3654,-0.01,50.3,50.2603,50.2804,50.2603,0.898831,50.2999,50.2718,0.00010376
3655,0,50.28,50.2638,50.2838,50.2603,0.896466,50.2964,50.2679,0.0164325
3656,0,50.31,50.2638,50.2838,50.2605,0.900013,50.2999,50.2724,0.0101038
3657,0,50.29,50.2638,50.2838,50.2606,0.897649,50.2999,50.2718,0.00989624
3658,0,50.31,50.2638,50.2838,50.2607,0.900013,50.2999,50.2726,0.0101038
3659,0,50.28,50.2638,50.2838,50.2608,0.896466,50.2999,50.2717,0.0198962
3660,-0.01,50.28,50.2603,50.2804,50.2608,0.896466,50.2999,50.2718,0.0198962
3661,0,50.29,50.2638,50.2838,50.2609,0.897649,50.2964,50.2688,0.00642868
3662,0,50.27,50.2638,50.2838,50.2609,0.895283,50.2999,50.2716,0.0298962
3663,0,50.31,50.2638,50.2839,50.2611,0.900013,50.2999,50.2729,0.0101038
3664,-0.01,50.3,50.2603,50.2804,50.2612,0.898831,50.2999,50.2727,0.00010376
3665,0,50.28,50.2638,50.2839,50.2612,0.896466,50.2964,50.2688,0.0164287
3666,0,50.28,50.2638,50.2839,50.2613,0.896466,50.2999,50.2722,0.0198924
3667,-0.01,50.26,50.2603,50.2804,50.2612,0.894099,50.2999,50.2716,0.0398924
3668,0,50.28,50.2638,50.2838,50.2613,0.896466,50.2964,50.2688,0.0164287
3669,-0.01,50.28,50.2603,50.2804,50.2613,0.896466,50.2999,50.2722,0.0198924
3670,-0.01,50.27,50.2603,50.2804,50.2613,0.895283,50.2964,50.2686,0.0264249
3671,-0.01,50.3,50.2603,50.2804,50.2614,0.898831,50.2964,50.2696,0.00357513
3672,-0.01,50.28,50.2603,50.2804,50.2615,0.896466,50.2964,50.2691,0.0164211
3673,-0.01,50.28,50.2603,50.2804,50.2615,0.896466,50.2964,50.2691,0.0164211
3674,0,50.28,50.2637,50.2838,50.2616,0.896466,50.2964,50.2691,0.0164172
3675,-0.01,50.27,50.2603,50.2804,50.2616,0.895283,50.2999,50.2722,0.0298848
3676,-0.01,50.27,50.2603,50.2804,50.2616,0.895283,50.2964,50.2688,0.0264172
3677,0,50.28,50.2637,50.2838,50.2616,0.896466,50.2964,50.2692,0.0164172
3678,0.01,50.31,50.2672,50.2873,50.2618,0.900013,50.2999,50.2736,0.010119
3679,-0.01,50.27,50.2603,50.2804,50.2617,0.895283,50.3033,50.2757,0.0333485
3680,0,50.28,50.2637,50.2838,50.2618,0.896466,50.2964,50.2694,0.0164172
3681,0,50.28,50.2637,50.2838,50.2618,0.896466,50.2999,50.2728,0.019881
3682,0,50.31,50.2637,50.2838,50.262,0.900013,50.2999,50.2738,0.010119
3683,0,50.28,50.2637,50.2838,50.262,0.896466,50.2999,50.2729,0.019881
3684,0.01,50.31,50.2672,50.2873,50.2622,0.900013,50.2999,50.274,0.010119
3685,0,50.28,50.2637,50.2838,50.2622,0.896466,50.3033,50.2765,0.0233485
3686,-0.01,50.28,50.2603,50.2804,50.2622,0.896466,50.2999,50.2731,0.019881
3687,0,50.31,50.2637,50.2839,50.2624,0.900013,50.2964,50.2708,0.0135828
3688,-0.01,50.28,50.2603,50.2804,50.2624,0.896466,50.2999,50.2733,0.019881
3689,-0.01,50.28,50.2603,50.2804,50.2625,0.896466,50.2964,50.27,0.0164134
3690,-0.01,50.27,50.2603,50.2804,50.2625,0.895283,50.2964,50.2697,0.0264134
3691,-0.01,50.28,50.2603,50.2804,50.2625,0.896466,50.2964,50.27,0.0164096
3692,0,50.31,50.2637,50.2839,50.2627,0.900013,50.2964,50.2711,0.0135904
3693,-0.01,50.28,50.2603,50.2804,50.2627,0.896466,50.2999,50.2736,0.0198734
